city_name,state,date,lat,lon,tz,units,cloud_cover_afternoon,humidity_afternoon,precipitation_total,temp_min,temp_max,temp_afternoon,temp_night,temp_evening,temp_morning,pressure_afternoon,wind_max_speed,wind_max_direction
Sioux Falls,South Dakota,2024-01-04,43.5488256,-96.7307737,-06:00,metric,84.0,88.0,0.0,-6.99,-1.95,-4.85,-5.97,-2.67,-6.99,1023.0,6.69,190.0
Great Falls,Montana,2024-01-04,47.5048851,-111.29189,-07:00,metric,20.0,52.0,0.0,-1.6,7.37,5.92,-1.16,0.96,-0.73,1014.0,7.72,250.0
Houghton,Michigan,2024-01-04,47.121872,-88.569012,-06:00,metric,100.0,75.0,0.0,-7.66,-6.43,-7.29,-7.0,-6.56,-7.38,1024.0,7.72,320.0
Fargo,North Dakota,2024-01-04,46.877229,-96.789821,-06:00,metric,100.0,75.0,0.0,-8.96,-3.9,-7.51,-8.59,-5.03,-8.9,1024.0,7.72,170.0
Duluth,Minnesota,2024-01-04,46.7729322,-92.1251218,-06:00,metric,100.0,71.0,0.0,-10.35,-5.22,-7.81,-9.7,-6.65,-9.69,1027.0,7.2,230.0
Bismarck,North Dakota,2024-01-04,46.808327,-100.783739,-06:00,metric,100.0,91.0,0.0,-7.5,-4.11,-6.03,-7.14,-4.2,-7.16,1020.0,8.75,190.0
Aberdeen,South Dakota,2024-01-04,45.4649805,-98.487813,-06:00,metric,100.0,85.0,0.0,-7.01,-1.01,-5.37,-6.01,-3.01,-7.01,1023.0,7.2,160.0
Grand Island,Nebraska,2024-01-04,40.924271,-98.338685,-06:00,metric,100.0,92.0,0.0,-4.25,-1.01,-1.3,-4.25,-1.14,-2.08,1022.0,6.17,150.0
Glasgow,Montana,2024-01-04,48.1955915,-106.635556,-07:00,metric,100.0,93.0,0.0,-3.61,-2.61,-2.61,-2.61,-2.61,-2.61,1014.0,5.14,130.0
Omaha,Nebraska,2024-01-04,41.2587459,-95.9383758,-06:00,metric,100.0,80.0,0.0,-3.42,0.2,-1.05,-1.98,-0.22,-3.42,1026.0,5.14,130.0
Portland,Oregon,2024-01-04,45.5202471,-122.674194,-08:00,metric,100.0,93.0,6.3,4.41,9.04,8.47,7.55,8.54,6.45,1021.0,5.66,110.0
Sioux Falls,South Dakota,2024-01-05,43.5488256,-96.7307737,-06:00,metric,100.0,92.0,0.0,-2.13,-0.02,-0.81,-1.95,-0.7,-1.91,1013.0,7.2,190.0
Great Falls,Montana,2024-01-05,47.5048851,-111.29189,-07:00,metric,75.0,68.0,0.0,-2.51,4.27,1.72,-2.21,-1.07,0.05,1016.0,8.23,230.0
Houghton,Michigan,2024-01-05,47.121872,-88.569012,-06:00,metric,100.0,83.0,0.22,-7.39,-2.73,-2.73,-7.39,-4.01,-3.83,1015.0,9.26,300.0
